state,name,lon,lat,region,ID,cluster
IL,Radford's Run,-89.019836,39.985134,EM,45189,1
MN,Nobles,-95.765892,43.641193,EM,38102,0
OH,Amazon Wind Farm US Central,-84.772896,41.087444,EM,1182,1
MO,unknown Adair County,-92.444458,40.264576,EM,61674,0
MN,Elm Creek,-94.960495,43.749592,EM,16858,0
MO,Osborn,-94.420364,39.845757,EM,40160,0
IL,Bishop Hill III,-90.316513,41.232903,EM,4547,1
IL,California Ridge,-87.934196,40.198692,EM,8632,1
IN,Fowler Ridge I,-87.35509499999998,40.598793,EM,18819,1
IL,Mendota Hills Repowering,-89.065445,41.70657,EM,34248,1
IL,Pioneer Trail,-88.039291,40.479294,EM,43305,1
IA,unknown Palo Alto County,-94.56308,43.164291,EM,65578,0
MN,Bent Tree,-93.493889,43.737492,EM,3466,0
IA,Rolling Hills,-94.66729,41.276894,EM,47509,0
IA,Rolling Hills,-94.733589,41.164093,EM,47428,0
IA,O'Brien,-95.567314,43.162113,EM,38907,0
MN,Bent Tree,-93.446991,43.767292,EM,3366,0
MN,Wapsipinicon Wind,-92.674995,43.755192,EM,59095,0
IA,Eclipse,-94.73259,41.590195,EM,15979,0
IN,Fowler Ridge II,-87.43309,40.543694,EM,18979,1
MN,Blazing Star 1,-96.341873,44.60006,EM,5172,0
IA,New Harvest,-95.435493,42.176693,EM,37221,0
IA,Rolling Hills,-94.790192,41.198292,EM,47565,0
IA,Pomeroy I,-94.726387,42.600098,EM,43794,0
MN,Grand Meadow,-92.673996,43.702591,EM,20852,0
MN,Pleasant Valley,-92.885345,43.853733,EM,43494,0
MN,Chanarambie,-96.055351,44.00164,EM,11734,0
IN,Fowler Ridge II,-87.404297,40.590691,EM,18916,1
MO,Lost Creek Ridge Wind Farm,-94.473991,40.021294,EM,31927,0
MO,unknown Nodaway County,-94.969604,40.301003,EM,65442,0
MN,Lakefield,-95.109192,43.669891,EM,29231,0
IL,Radford's Run,-89.007851,39.971161,EM,45193,1
IA,New Harvest,-95.461594,42.148693,EM,37227,0
MO,Tenaska Clear Creek Energy Center,-94.90448,40.498169,EM,56137,0
MN,Red Pine,-96.202911,44.505867,EM,46168,0
IN,Meadow Lake III,-87.066292,40.613194,EM,33933,1
WI,Butler Ridge,-88.473015,43.392746,EM,8417,0
WI,Forward Wind Project,-88.476196,43.645893,EM,18556,0
MN,Bent Tree,-93.441795,43.731892,EM,3393,0
MN,Elm Creek II,-94.892395,43.684391,EM,16878,0
MN,Grand Meadow,-92.643196,43.69379,EM,20844,0
MO,Tenaska Clear Creek Energy Center,-94.894646,40.566414,EM,56142,0
MI,Beebe Community Wind,-84.493996,43.273193,EM,3211,3
IN,Amazon Wind Farm (Fowler Ridge),-87.337502,40.634941,EM,1036,1
IA,Whispering Willow North,-93.456276,42.829861,EM,59832,0
IN,Hoosier,-87.220993,40.710491,EM,24766,1
IA,Orient 2019,-94.283028,41.158955,EM,39836,0
MI,Tuscola Bay Wind,-83.615898,43.553291,EM,57526,3
IN,Meadow Lake IV,-87.051498,40.685593,EM,34004,1
IA,Century,-93.678589,42.552891,EM,11521,0
MI,Apple Blossom,-83.311996,43.818432,EM,1412,3
IA,Laurel,-92.989998,41.908588,EM,29636,0
IL,Camp Grove,-89.667793,41.097893,EM,8916,1
MO,Conception Wind Project,-94.662788,40.240894,EM,13062,0
IA,unknown Iowa County,-92.092201,41.734924,EM,63942,0
IL,Cayuga Ridge,-88.424194,40.971493,EM,10551,1
IA,Whispering Willow I,-93.236694,42.645393,EM,59747,0
IA,Storm Lake I,-95.294579,42.63924,EM,54413,0
IA,Highland I,-95.547462,43.015694,EM,24073,0
MN,Grand Meadow,-92.686996,43.681492,EM,20836,0
