state,name,lon,lat,region,ID,cluster
KS,Central Plains,-101.188591,38.532093,MW,11481,1
ND,Border Winds Project,-99.532539,48.913101,MW,6251,4
ND,Langdon,-98.34359,48.643494,MW,29359,2
ND,Foxtail Wind,-98.895493,46.129452,MW,19029,2
KS,Flat Ridge 2 Expansion,-98.32119,37.322994,MW,17994,1
OK,Seiling,-98.993019,36.099514,MW,49929,1
ND,North Dakota Wind II,-98.888893,46.316292,MW,38281,2
NE,Broken Bow I,-99.490189,41.419693,MW,7022,0
KS,Cedar Bluff,-99.750114,38.67065,MW,10590,1
KS,East Fork,-100.910088,39.296665,MW,15831,1
OK,Mammoth Plains,-98.679131,35.946793,MW,32647,1
OK,Rush Springs Wind Energy Center,-97.725182,34.676815000000005,MW,48564,1
ND,Sunflower,-102.040482,46.82848,MW,54866,3
OK,Breckinridge,-97.7146,36.438942,MW,6649,1
OK,OK Wind Energy Center(mooreland),-99.286224,36.554428,MW,38935,1
SD,Willow Creek Wind Energy,-103.232399,44.827297,MW,60745,11
OK,Rock Falls,-97.477386,36.924599,MW,47061,1
OK,Canadian Hills,-98.010895,35.642193,MW,9409,1
SD,Crowned Ridge I,-96.960411,45.026154,MW,14174,5
OK,Origin,-97.256401,34.41800300000001,MW,39968,1
KS,Buffalo Dunes,-101.050987,37.621796,MW,7612,1
OK,OK Wind Energy Center(mooreland),-99.29351,36.568481,MW,38989,1
ND,Courtenay,-98.612595,47.201199,MW,13360,2
KS,Caney River,-96.45829,37.413094,MW,9516,1
ND,unknown Emmons County,-100.123787,46.351692,MW,63435,3
OK,Breckinridge,-97.643272,36.443275,MW,6634,1
NE,Grande Prairie,-98.533012,42.586334,MW,21022,1
OK,Keenan II,-99.55629,36.284492,MW,27627,1
OK,Diamond Spring,-96.740364,34.503925,MW,14802,1
KS,Shooting Star,-99.489693,37.509693,MW,51148,1
ND,Bison Wind 1A,-101.520287,46.994892,MW,4601,3
OK,Rocky Ridge I,-99.027191,35.112891999999995,MW,47284,1
OK,Centennial Wind Farm,-99.5756,36.64146,MW,11413,1
KS,Ninnescah,-98.563126,37.604309,MW,37546,1
OK,Persimmon Creek I,-99.389015,36.151012,MW,42520,1
KS,Gray County Wind Farm Montezuma),-100.376389,37.613293,MW,21788,1
OK,Seiling,-98.964211,36.117012,MW,49896,1
SD,unknown Hyde County,-99.489944,44.437893,MW,63880,1
OK,Great Western,-99.476967,36.186382,MW,21968,1
KS,unknown Neosho County,-95.376259,37.490055,MW,65099,1
KS,Cimarron Bend I,-99.942093,37.334244,MW,12382,1
ND,Brady Wind I,-102.611,46.719784,MW,6303,3
NE,Prairie Breeze,-98.14579,41.968792,MW,44273,1
ND,Prairie Winds ND 1,-101.265091,47.956993,MW,44649,3
OK,Great Western,-99.575554,36.14996,MW,21987,1
KS,East Fork,-100.940788,39.310474,MW,15784,1
KS,Kingman Wind Energy Center,-98.371147,37.549644,MW,28282,1
KS,Alexander,-99.542793,38.435001,MW,252,1
NE,unknown Saline County,-97.227333,40.489841,MW,65901,1
NE,Grande Prairie,-98.418343,42.627033,MW,21170,1
KS,Buckeye,-99.48568,39.014084,MW,7395,1
OK,unknown Garfield County,-97.507256,36.243912,MW,63583,1
KS,Spearville II,-99.704994,37.867294,MW,52823,1
NE,Grande Prairie,-98.456154,42.63625,MW,21074,1
ND,Rugby,-99.889221,48.517021,MW,48198,4
KS,Buffalo Dunes,-101.005592,37.655094,MW,7675,1
NE,Cottonwood Wind,-98.513847,40.296421,MW,13239,7
KS,Smoky Hills,-98.125793,38.894493,MW,51780,1
OK,Elk City II,-99.667091,35.455994,MW,16558,1
KS,Caney River,-96.442894,37.397491,MW,9574,1
OK,OK Wind Energy Center(mooreland),-99.318344,36.602161,MW,38971,1
ND,Lindahl,-102.96199,48.470238,MW,30483,9
OK,Blue Canyon VI,-98.540794,34.900593,MW,5471,1
ND,unknown McIntosh County,-99.073433,46.136471,MW,64574,2
OK,Taloga,-98.91909,35.868893,MW,55501,1
NE,Sholes,-97.337418,42.241272,MW,51036,1
OK,Weatherford Wind Energy Center,-98.762192,35.559193,MW,59305,1
KS,Waverly,-95.574883,38.293537,MW,59187,1
KS,Kingman Wind Energy Center,-98.142082,37.550529,MW,28319,1
OK,Balko Wind,-100.806984,36.505657,MW,2604,1
SD,unknown Codington County,-96.917709,44.836807,MW,62816,5
ND,Emmons-Logan,-99.903,46.403843,MW,16980,3
OK,Origin,-97.279182,34.435326,MW,39990,1
NE,Upstream,-97.961433,42.161217,MW,58199,1
OK,Big Smile Wind Farm at Dempsey Ridge,-99.82859,35.542995,MW,3948,1
SD,Crowned Ridge I,-96.997742,45.018223,MW,14136,5
KS,Pratt Wind Energy Center,-98.862343,37.562752,MW,44740,1
ND,Bison Wind 2,-101.673088,46.95549000000001,MW,4654,3
OK,unknown Woodward County,-99.350548,36.566902,MW,67731,1
KS,unknown Neosho County,-95.351631,37.526615,MW,65245,1
OK,Frontier I,-97.113098,36.865086,MW,19183,1
KS,Cimarron Bend I,-99.899475,37.361107,MW,12431,1
OK,Grant Wind,-97.603935,36.921261,MW,21560,1
NE,Petersburg,-98.015694,41.861393,MW,42531,1
KS,unknown Neosho County,-95.319443,37.555462,MW,65111,1
ND,unknown Williams County,-103.138191,48.456062,MW,67571,9
OK,Diamond Spring,-96.783569,34.488735,MW,14798,1
OK,Canadian Hills,-98.062988,35.643394,MW,9447,1
KS,Western Plains,-99.669121,37.865967,MW,59539,1
NE,Rattlesnake Creek,-96.823608,42.373608,MW,45638,1
ND,Bison Wind 4,-101.475792,47.006512,MW,4696,3
SD,unknown Codington County,-96.917068,45.014793,MW,62809,5
NE,Prairie Breeze II,-97.950348,41.893303,MW,44312,1
