state,name,lon,lat,region,ID,cluster
NY,Orangeville Wind,-78.20369699999998,42.779991,NE,39649,1
NY,Marble River,-73.91179699999998,44.99559,NE,33125,8
NY,Jericho Rise,-74.08287,44.879982,NE,26743,8
NY,Orangeville Wind,-78.269798,42.741493,NE,39701,1
NY,Orangeville Wind,-78.219498,42.716591,NE,39695,1
NH,Antrim,-72.009064,43.061455,NE,1399,0
ME,Bingham Wind,-69.63205,45.15871,NE,4353,2
ME,Passadumkeag,-68.30866999999999,45.145927,NE,41470,3
NY,Steel Winds II,-78.8601,42.803291,NE,53854,1
NY,Maple Ridge (Lowville),-75.599396,43.808392,NE,33005,4
NY,Arkwright Summit,-79.250679,42.420475,NE,1732,1
NY,unknown Lewis County,-75.606308,43.681042,NE,64325,4
NY,Marble River,-73.96219599999998,44.931492,NE,33118,8
NY,Noble Ellenburg,-73.999001,44.87479,NE,37851,8
NY,Noble Wethersfield,-78.277695,42.632191,NE,38009,1
NY,Copenhagen,-75.59058399999998,43.87012100000001,NE,13195,4
NY,Fenner Wind Power Project,-75.7603,42.976891,NE,17538,6
ME,Stetson Wind expansion,-67.960899,45.586891,NE,54242,3
NY,High Sheldon,-78.394196,42.731293,NE,23947,1
ME,Bingham Wind,-69.691109,45.132149,NE,4302,2
NY,Dutch Hill/Cohocton,-77.399498,42.529892,NE,15743,1
NY,Maple Ridge (Lowville),-75.601601,43.809891,NE,33069,4
NY,Noble Chateaugay,-74.044495,44.914791,NE,37727,8
NY,Dutch Hill/Cohocton,-77.40149699999998,42.526493,NE,15755,1
ME,Oakfield Wind,-68.08991999999999,46.01606,NE,39138,3
NY,Noble Ellenburg,-73.979401,44.864693,NE,37868,8
ME,Bingham Wind,-69.63383499999999,45.170956,NE,4337,2
MD,Criterion,-79.336998,39.369892,NE,13655,5
NY,Copenhagen,-75.618286,43.901035,NE,13174,4
NY,Arkwright Summit,-79.209778,42.382069,NE,1755,1
NY,Maple Ridge,-75.56019599999998,43.720791,NE,32942,4
NY,High Sheldon,-78.406494,42.72039,NE,23945,1
NY,Noble Clinton,-74.009895,44.920692,NE,37829,8
NY,Noble Clinton,-73.98739599999998,44.921391,NE,37796,8
ME,unknown Hancock County,-68.236938,44.82435200000001,NE,63730,3
NY,Noble Clinton,-73.998795,44.93779,NE,37818,8
NY,Noble Chateaugay,-74.02109499999997,44.877392,NE,37750,8
NY,Fenner Wind Power Project,-75.7593,42.998592,NE,17547,6
NY,Noble Wethersfield,-78.242195,42.615093,NE,38037,1
NY,Marble River,-73.92229499999998,44.87249,NE,33082,8
NY,Jericho Rise,-74.092972,44.897095,NE,26730,8
NY,Noble Altona,-73.6595,44.817093,NE,37590,8
NY,Noble Clinton,-74.002296,44.90089,NE,37798,8
NY,Noble Ellenburg,-73.925995,44.86499,NE,37873,8
MA,MWRA Deer Island,-70.957298,42.347092,NE,32336,0
NY,Hardscrabble,-74.903297,43.128391,NE,22901,6
NY,Maple Ridge,-75.550995,43.751591,NE,32985,4
NY,Marble River,-73.96399699999998,44.92189000000001,NE,33091,8
NY,Maple Ridge,-75.552399,43.76849,NE,32904,4
NY,Marble River,-73.913399,44.895592,NE,33145,8
NY,Noble Bliss,-78.23679399999997,42.572193,NE,37702,1
MD,Roth Rock,-79.4655,39.256191,NE,48032,5
NY,Noble Altona,-73.669701,44.841991,NE,37599,8
MD,Roth Rock,-79.447701,39.275494,NE,48017,5
NY,Maple Ridge (Lowville),-75.629395,43.785591,NE,33032,4
NY,Noble Altona,-73.64679699999998,44.815392,NE,37619,8
ME,Oakfield Wind,-68.08918800000001,46.02108,NE,39140,3
ME,Stetson,-67.986801,45.497192,NE,54198,3
NY,High Sheldon,-78.396996,42.744392,NE,23951,1
NY,Noble Ellenburg,-74.004097,44.878693,NE,37872,8
ME,Stetson,-67.971497,45.554291,NE,54223,3
NY,Fenner Wind Power Project - Repower,-75.767876,42.975517,NE,17551,6
NY,Noble Wethersfield,-78.248795,42.644993,NE,38049,1
NH,Granite Reliable Power,-71.314499,44.774391,NE,21430,3
NY,Noble Bliss,-78.254898,42.522991,NE,37700,1
NY,Dutch Hill/Cohocton,-77.420998,42.542492,NE,15741,1
ME,Oakfield Wind,-68.144012,46.05173900000001,NE,39157,3
NH,Granite Reliable Power,-71.28409599999998,44.726192,NE,21433,3
NY,Orangeville Wind,-78.261101,42.708893,NE,39660,1
ME,Rollins,-68.400803,45.28109,NE,47626,3
MD,Criterion,-79.278198,39.417294,NE,13666,5
ME,Canton Mountain,-70.300888,44.520935,NE,9607,3
ME,Canton Mountain,-70.303886,44.512718,NE,9604,3
ME,Rollins,-68.359802,45.37709,NE,47625,3
NY,Noble Ellenburg,-73.931,44.87149,NE,37866,8
NY,Noble Bliss,-78.2584,42.536591,NE,37651,1
NY,Orangeville Wind,-78.23719799999998,42.754593,NE,39676,1
ME,Rollins,-68.3843,45.332291,NE,47645,3
ME,Oakfield Wind,-68.114693,46.089111,NE,39121,3
NY,Noble Bliss,-78.30439799999998,42.54129,NE,37656,1
ME,Mars Hill,-67.80806700000001,46.554146,NE,33380,3
NY,Madison Windpower,-75.450096,42.896191,NE,32420,6
NY,Munnsville,-75.541,42.947392,NE,36921,6
NY,Arkwright Summit,-79.22216800000002,42.388699,NE,1740,1
NY,Munnsville,-75.574699,42.902493,NE,36926,6
ME,Oakfield Wind,-68.07067099999999,46.062359,NE,39156,3
NY,Orangeville Wind,-78.243996,42.726391,NE,39672,1
ME,Bingham Wind,-69.685005,45.14526400000001,NE,4301,2
NY,Steel Winds II,-78.861,42.804893,NE,53858,1
NY,Hardscrabble,-74.898895,43.138191,NE,22900,6
MA,MWRA Deer Island,-70.95644399999998,42.345852,NE,32335,0
ME,Bull Hill,-68.14810200000001,44.73629,NE,8314,3
NY,Copenhagen,-75.635063,43.899338,NE,13168,4
NY,Maple Ridge,-75.537498,43.730392,NE,32954,4
MD,Fair Wind,-79.388489,39.324112,NE,17344,5
NY,Maple Ridge (Lowville),-75.590797,43.82029,NE,33040,4
NY,Noble Wethersfield,-78.239998,42.603592,NE,38027,1
NY,Noble Bliss,-78.291595,42.54129,NE,37685,1
NY,Noble Bliss,-78.275696,42.556091,NE,37669,1
ME,Stetson,-67.977501,45.522289,NE,54212,3
ME,Oakfield Wind,-68.076759,46.071251,NE,39125,3
NY,Noble Chateaugay,-74.055801,44.905491,NE,37774,8
NY,Orangeville Wind,-78.28439300000002,42.775494,NE,39694,1
NY,Maple Ridge,-75.511299,43.696091,NE,32975,4
NY,Marble River,-73.941399,44.98069,NE,33140,8
NY,Maple Ridge (Lowville),-75.6073,43.81319000000001,NE,32998,4
NY,Noble Bliss,-78.247299,42.54129,NE,37665,1
NY,Jericho Rise,-74.082771,44.883896,NE,26731,8
NY,Noble Wethersfield,-78.245399,42.657192,NE,38050,1
ME,Hancock,-68.11808,44.771362,NE,22682,3
NY,Noble Clinton,-73.995499,44.948193,NE,37797,8
NY,Noble Ellenburg,-73.995399,44.876091,NE,37884,8
NH,Groton,-71.830696,43.780891,NE,22223,7
ME,unknown Hancock County,-68.22518199999999,44.825569,NE,63747,3
NY,High Sheldon,-78.4076,42.724491,NE,23931,1
