state,name,lon,lat,region,ID,cluster
TX,Cedro Hill,-98.864395,27.574995,SW,11291,3
TX,Sweetwater Phase III,-100.418327,32.267693,SW,55213,1
TX,Bruenning's Breeze,-97.613312,26.531002,SW,7284,3
TX,Big Spring I,-101.409592,32.214195000000004,SW,4000,1
NM,Aragonne Wind LLC (Pastura),-105.097992,34.808994,SW,1485,1
NM,unknown Torrance County,-105.677025,34.57468,SW,67041,1
TX,Canadian Breaks,-102.26741,35.172417,SW,9274,1
TX,Inadale (Roscoe IV),-100.542595,32.519493,SW,25936,1
TX,Horse Hollow Wind Energy Center,-100.07235,32.230244,SW,25374,1
CA,unknown Tehachapi Wind Resource Area 3,-118.308891,35.046795,SW,67005,0
TX,Stella,-97.56736,26.87170200000001,SW,53941,3
CA,Dillon,-116.556587,33.935295,SW,15320,0
CA,Mesa Wind Farm,-116.653023,33.953949,SW,34630,0
CO,Busch Ranch II,-104.385193,37.765793,SW,8369,1
NM,El Cabo,-105.684006,34.645756,SW,16223,1
CA,Mesa Wind Farm,-116.660484,33.961597,SW,34599,0
CA,unknown Tehachapi Wind Resource Area 1,-118.265991,35.097897,SW,66389,0
CA,Alite Wind Farm,-118.344086,35.035896,SW,257,0
TX,Capricorn Ridge,-101.003616,32.011837,SW,9637,1
TX,Wake,-101.146317,33.857319,SW,58785,1
CO,Peetz Table Wind Farm,-103.147293,40.942493,SW,42143,1
CA,Cabazon,-116.736069,33.910629,SW,8463,0
CO,Peetz Table,-103.277893,40.941494,SW,42121,1
TX,Capricorn Ridge,-100.863396,31.878296,SW,9679,1
CA,Ocotillo Wind I,-116.066689,32.765194,SW,39358,7
TX,Big Spring I,-101.360191,32.175797,SW,4011,1
TX,Tahoka Wind,-101.756653,33.158836,SW,55449,1
NM,unknown Torrance County,-105.753822,34.64867,SW,67078,1
CA,Pinyon Pines II,-118.208344,35.016682,SW,43038,0
TX,Hale Wind,-101.69973,33.942432000000004,SW,22463,1
TX,Los Vientos V,-98.571571,26.433815000000006,SW,31831,3
CO,NREL - NWTC,-105.222839,39.906052,SW,36967,1
CA,Voyager II,-118.259949,35.073917,SW,58612,0
